id,total_rank,thai_rank,foreign_rank
Ao Manao-Khao Tanyong,51.0,48.0,122.0
Ao Phang Nga,12.0,34.0,2.0
Ao Sayam,139.0,139.0,127.0
Bang Lang,102.0,101.0,96.0
Budo Su-Ngai Padi,68.0,65.0,101.0
Khao Sam Roi Yot,28.0,28.0,14.0
Chae Son,15.0,13.0,38.0
Chaloem Phra Kiat Thai Prachan,56.0,53.0,97.0
Chaloem Rattanakosin,66.0,63.0,77.0
Chattrakan Waterfall,105.0,104.0,94.0
Pha Daeng,88.0,88.0,42.0
Doi Chong,146.0,145.0,148.0
Doi Inthanon,5.0,7.0,4.0
Doi Khun Tan,115.0,113.0,65.0
Huai Nam Dang,44.0,47.0,17.0
Doi Luang,81.0,76.0,80.0
Doi Pha Hom Pok,37.0,37.0,44.0
Doi Pha Klong,140.0,140.0,142.0
Doi Phu Kha,90.0,89.0,69.0
Doi Phu Nang,110.0,107.0,99.0
Doi Soi Malai,72.0,68.0,88.0
Doi Suthep-Pui,19.0,23.0,12.0
Doi Wiang Pha,150.0,148.0,149.0
Erawan,4.0,5.0,5.0
Hat Chao Mai,14.0,12.0,41.0
Hat Khanom-Mu Koh Thale Tai,54.0,51.0,110.0
Hat Nappharat Thara-Mu Ko Phi Phi,3.0,4.0,1.0
Hat Wanakorn,58.0,56.0,73.0
Kaeng Krachan,29.0,26.0,20.0
Kaeng Krung,148.0,146.0,142.0
Kaeng Tana,92.0,91.0,88.0
Khao Chamao-Khao Wong,26.0,22.0,26.0
Khao Khitchakut,9.0,9.0,47.0
Khao Kho,79.0,75.0,65.0
Khao Laem,57.0,54.0,116.0
Khao Laem Ya–Mu Ko Samet,2.0,2.0,6.0
Khao Lak-Lam Ru,78.0,86.0,21.0
Khao Lampi–Hat Thai Mueang,65.0,77.0,18.0
Khao Luang,75.0,72.0,57.0
Khao Nam Khang,138.0,138.0,139.0
Khao Nan,123.0,122.0,108.0
Khao Phanom Bencha,109.0,117.0,35.0
Khao Pra Wihan,17.0,14.0,60.0
Khao Pu-Khao Ya,32.0,29.0,53.0
Khao Sip Ha Chan,125.0,124.0,109.0
Khao Sok,11.0,18.0,3.0
Khao Yai,1.0,1.0,9.0
Khelang Banphot,132.0,132.0,151.0
Khlong Lan,7.0,6.0,37.0
Khlong Phanom,144.0,149.0,56.0
Khlong Wang Chao,76.0,73.0,84.0
Khuean Srinagarindra,36.0,36.0,45.0
Khun Chae,131.0,131.0,136.0
Khun Khan,142.0,142.0,90.0
Khun Nan,143.0,143.0,132.0
Khun Phawo,137.0,137.0,141.0
Khun Sathan,104.0,103.0,102.0
Khwae Noi,145.0,144.0,149.0
Ko Surin Nuea,82.0,82.0,31.0
Kui Buri,108.0,125.0,24.0
Laem Son,85.0,83.0,64.0
Lam Khlong Ngu,127.0,127.0,130.0
Lam Nam Kok,35.0,35.0,27.0
Lam Nam Nan,59.0,57.0,115.0
Lamnam Kra Buri,83.0,80.0,36.0
Lan Sang,71.0,69.0,78.0
Mae Charim (อุทยานแห่งชาติแม่จริม),118.0,116.0,131.0
Mae Moei,134.0,134.0,114.0
Mae Ngao,119.0,118.0,126.0
Mae Ping,99.0,98.0,81.0
Mae Puem,106.0,105.0,137.0
Mae Sariang,155.0,155.0,140.0
Mae Takhrai,120.0,119.0,134.0
Mae Tho,154.0,154.0,151.0
Mae Wa,136.0,136.0,118.0
Mae Yom,130.0,130.0,137.0
Mu Ko Ang Thong National Park,41.0,66.0,11.0
Mu Ko Chumphon,55.0,55.0,40.0
Mu Ko Lanta,47.0,52.0,15.0
Mu Ko Phetra,18.0,16.0,54.0
Mu Ko Ranong,153.0,152.0,146.0
Mu Koh Chang,22.0,24.0,13.0
Na Yung Nam Som Forest Park,128.0,128.0,119.0
Nam Nao,103.0,102.0,106.0
Nam Phong,60.0,58.0,46.0
Namtok Bua Thong-Nam Phu Chet Si,20.0,30.0,8.0
Namtok Chet Sao Noi,10.0,10.0,32.0
Namtok Huai Yang,94.0,95.0,50.0
Namtok Khlong Kaeo,101.0,100.0,75.0
Namtok Mae Surin,147.0,153.0,61.0
Namtok Ngao,46.0,45.0,51.0
Namtok Pha Charoen,80.0,79.0,30.0
Namtok Phlio,6.0,3.0,25.0
Namtok Sai Khao,33.0,32.0,58.0
Namtok Samlan,64.0,62.0,67.0
Namtok Si Khit,124.0,123.0,124.0
Namtok Sipo,63.0,60.0,98.0
Namtok Than Sadet,50.0,111.0,7.0
Namtok Yong,40.0,40.0,83.0
Nanthaburi,129.0,129.0,146.0
Ob Khan,61.0,61.0,34.0
Op Luang,86.0,84.0,55.0
Pa Hin Ngam,27.0,21.0,63.0
Pang Sida,67.0,64.0,74.0
Pha Taem,24.0,20.0,39.0
Mae Wang,70.0,74.0,33.0
Phu Chi Fa,53.0,49.0,120.0
Phu Chong Na Yoi,52.0,50.0,76.0
Phu Hin Rong Kla,21.0,17.0,48.0
Phu Kao-Phu Phan Kham,93.0,92.0,117.0
Phu Kradueng,73.0,70.0,71.0
Phu Lan Kha,39.0,39.0,69.0
Phu Langka,8.0,8.0,52.0
Phu Pha Lek,149.0,147.0,142.0
Phu Pha Man,87.0,85.0,113.0
Phu Pha Thoep,100.0,99.0,85.0
Phu Pha Yon,126.0,126.0,127.0
Phu Phan,151.0,150.0,151.0
Phu Phra Bat,91.0,90.0,123.0
Phu Ruea,45.0,42.0,72.0
Phu Sa Dok Bua,133.0,133.0,145.0
Phu Sang,49.0,46.0,62.0
Phu Soi Dao,98.0,96.0,129.0
Phu Suan Sai,121.0,120.0,107.0
Phu Toei,116.0,114.0,124.0
Phu Wiang,38.0,38.0,78.0
Ramkhamhaeng,97.0,97.0,68.0
Sai Thong,74.0,71.0,105.0
Sai Yok,43.0,44.0,29.0
Salawin,152.0,151.0,151.0
San Kala Khiri,122.0,121.0,87.0
Si Nan,84.0,78.0,100.0
Si Phang Nga,113.0,112.0,43.0
Si Satchanalai,114.0,110.0,111.0
Similan Islands,25.0,31.0,10.0
Sirinat,77.0,81.0,22.0
Srilanna,34.0,33.0,23.0
Ta Phraya,141.0,141.0,133.0
Tai Rom Yen,117.0,115.0,92.0
Taksin Maharat,107.0,106.0,112.0
Tarutao,16.0,15.0,16.0
Tat Mok,95.0,93.0,93.0
Tat Ton,13.0,11.0,49.0
Thale Ban,112.0,109.0,103.0
Tham Pha Thai,89.0,87.0,90.0
Tham Pla-Namtok Pha Suea Office,42.0,41.0,28.0
Tham Sa Koen,135.0,135.0,134.0
Thamluang Khunnam Nangnon,23.0,19.0,151.0
Than Bok Khorani,30.0,27.0,19.0
Thap Lan,31.0,25.0,59.0
Thong Pha Phum,48.0,43.0,82.0
Thung Salaeng Luang,62.0,59.0,86.0
Ton Sak Yai,96.0,94.0,104.0
Mae Wong,69.0,67.0,95.0
Wiang Kosai,111.0,108.0,120.0
